umbral,flat_corr,av_corr,mean_corr,aciertos,aciertos_pct,desaciertos,desaciertos_pct
0,0.012547891477874303,0.47985496425699214,0.07605423149389119,13709.0,0.022940170482498266,285090.0,0.47705982951750175
1,0.023245642800198977,0.6085568857436743,0.32947445435062706,10401.0,0.024312535647165526,203501.0,0.4756874643528345
2,0.029436953513777824,0.6298352727758604,0.5857014289506568,6715.0,0.026357727151402867,120667.0,0.4736422728485971
3,0.05856651286001175,0.7547718101774132,0.7099398506950514,5636.0,0.03244786808985918,81211.0,0.46755213191014083
4,0.09607999639256251,0.8829301863665501,0.8416273332944856,4097.0,0.04753892924276531,38994.0,0.4524610707572347
5,0.1096294972056888,0.9427715740387838,0.9153701221762524,2366.0,0.07020771513353116,14484.0,0.42979228486646887
6,0.09752603704798915,0.9506214905358326,0.9432207395321432,1106.0,0.0965601536581107,4621.0,0.4034398463418893
7,0.06898753875310357,0.9263822614169775,0.9521427785223602,379.0,0.12491760052735662,1138.0,0.3750823994726434
8,0.041518927086748016,0.856181806133342,0.9540333702387196,115.0,0.1419753086419753,290.0,0.35802469135802467
9,0.023370828390926714,0.7752106292828922,0.954463933078233,33.0,0.1527777777777778,75.0,0.3472222222222222
10,0.01349158125068974,0.6330824774628686,0.9545545778865515,11.0,0.1527777777777778,25.0,0.3472222222222222
11,0.005001605008259594,0.5500124162639565,0.9545869510323797,2.0,0.125,6.0,0.375
12,0.0005549151304816307,0.46186726411433265,0.9545934256615453,0.0,0.0,2.0,0.5
13,0,0,0.9545999002907108,0.0,0,0.0,0
14,0,0,0.9545999002907108,0.0,0,0.0,0
15,0,0,0.9545999002907108,0.0,0,0.0,0
16,0,0,0.9545999002907108,0.0,0,0.0,0
17,0,0,0.9545999002907108,0.0,0,0.0,0
18,0,0,0.9545999002907108,0.0,0,0.0,0
19,0,0,0.9545999002907108,0.0,0,0.0,0
20,0,0,0.9545999002907108,0.0,0,0.0,0
21,0,0,0.9545999002907108,0.0,0,0.0,0
