iter,error_autovalor,error_n2_autovectores
0,23.874985719287462,0.45065646804364934
1,26.272149587145762,0.35861132705236787
2,27.06496538836066,0.3124064988064752
3,26.709454830506694,0.27678430369970797
4,25.590530770813753,0.24571802563531375
5,24.009838449650502,0.21749471585049562
6,22.160721279093227,0.19148411460215353
7,20.1686730623328,0.16746641633970127
8,18.122639161386925,0.14539861525768316
9,16.09105578848932,0.12529977862226538
10,14.128214401012329,0.10718953415657806
11,12.276109899683092,0.09105734223554163
12,10.56486731848854,0.07685102911048225
13,9.013247693897826,0.06447729702253158
14,7.629748876327939,0.05380907356513842
15,6.414280773029521,0.04469594234580909
16,5.360162808245859,0.036975015304122394
17,4.456152150773393,0.030480593122497845
18,3.688273879594469,0.025051784835837143
19,3.041321037876653,0.020537871151774745
20,2.499981711964235,0.01680158660019271
21,2.049613430806481,0.013720693827903752
22,1.6767199650452582,0.011188281774875408
23,1.369197826547449,0.009112192510040584
24,1.116417490363709,0.007413913116847803
25,0.909194662694432,0.006027188914718096
26,0.7396947653656127,0.004896539399848798
27,0.6013021021111769,0.00397579619343591
28,0.4884752749063104,0.0032267348308536725
29,0.3966027198889108,0.0026178382141170964
30,0.3218666042033469,0.0021232065512133413
31,0.26111942016047607,0.0017216139786864204
32,0.21177503585357016,0.0013957034507592336
33,0.1717143515386752,0.0011313069810907628
34,0.13920477503207707,0.0009168765129241585
35,0.11283224374819767,0.0007430105460375369
36,0.09144432410013437,0.0006020624605740377
37,0.0741028982452363,0.0004878177827731811
38,0.06004502785472354,0.0003952291396798202
39,0.048650715461516114,0.0003201991698151829
40,0.039416435112983095,0.0002594030929821134
41,0.031933457038075375,0.0002101439436348329
42,0.02587013547939776,0.00017023461863208134
43,0.020957459570933423,0.00013790188035200934
44,0.016977282190332232,0.00011170829917972469
45,0.013752740989399825,9.048882941997682e-05
46,0.011140470256044921,7.329930582278266e-05
47,0.009024273336308397,5.9374640295928316e-05
48,0.007309984682102311,4.809490502255542e-05
49,0.005921299818979264,3.8957822841245715e-05
50,0.004796392171851238,3.155646015251534e-05
51,0.0038851691141346123,2.5561142220853483e-05
52,0.003147047016298643,2.0704794072567978e-05
53,0.002549147490505277,1.677105973540982e-05
54,0.0020648353345151804,1.3584674293243282e-05
55,0.0016725336000753543,1.1003662276243276e-05
56,0.0013547633609221066,8.91301640537634e-06
57,0.0010973656375732332,7.219576089179114e-06
58,0.0008888709679268914,5.847878166376219e-06
59,0.0007199886355273577,4.73679545143213e-06
60,0.0005831928632851202,3.836813596835853e-06
61,0.00047238757692369404,3.107825106152262e-06
62,0.00038263482840150687,2.517342335250916e-06
63,0.00030993479585461614,2.0390499173572607e-06
64,0.00025104756850780063,1.65163215659625e-06
65,0.00020334878243133403,1.3378231782379402e-06
66,0.00016471267912976373,1.083637517051983e-06
67,0.00013341737861694014,8.777468760712281e-07
68,0.0001080681479166401,7.10975289974769e-07
69,8.753524656412992e-05,5.758901946428807e-07
70,7.090358041139666e-05,4.664711956703371e-07
71,5.743192027196642e-05,3.778417589916927e-07
72,4.651986865766844e-05,3.0605188405807837e-07
73,3.768110229174226e-05,2.479020653201047e-07
74,3.05216985694301e-05,2.0080069829120362e-07
75,2.472257959595936e-05,1.626485823802426e-07
76,2.0025291927794342e-05,1.3174536284132898e-07
77,1.6220488092244523e-05,1.0671375094695179e-07
78,1.3138596422379578e-05,8.643814308761932e-08
79,1.0642263802651541e-05,7.00148989896121e-08
80,8.620234165590546e-06,5.671207015112145e-08
81,6.982389983534176e-06,4.59367783811615e-08
82,5.6557360927911304e-06,3.7208791159315524e-08
83,4.581146384907697e-06,3.013912142080244e-08
84,3.7107286665616357e-06,2.441268875941205e-08
85,3.0056902886599346e-06,1.9774277992823386e-08
86,2.4346091826998872e-06,1.601716537180664e-08
87,1.9720334769601777e-06,1.2973903951163379e-08
88,1.5973471505503767e-06,1.0508862668956453e-08
89,1.2938512128357615e-06,8.512178739650267e-09
90,1.0480195058448771e-06,6.894864457152039e-09
91,8.488958229690979e-07,5.584840589989426e-09
92,6.876056382054685e-07,4.523720953386601e-09
93,5.569605789901289e-07,3.6642138212528153e-09
94,4.511380957694655e-07,2.9680133906140327e-09
95,3.654218758697425e-07,2.4040907042888193e-09
96,2.959917289047098e-07,1.9473134216241306e-09
97,2.3975331586711945e-07,1.5773240491512297e-09
98,1.9420018659843663e-07,1.2776324442853593e-09
99,1.573021783940476e-07,1.0348821799510688e-09
100,1.2741477206645868e-07,8.38254354817991e-10
